buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.7538817,33.1565939,2006,498.3962097167969,235.92031860351562,262.47589111328125
10km,-91.7538817,33.1565939,2007,431.0644836425781,198.3848419189453,232.67959594726562
10km,-91.7538817,33.1565939,2008,525.4117431640625,248.47584533691406,276.9359130859375
10km,-91.7538817,33.1565939,2009,751.68707275390625,229.85557556152344,521.83148193359375
10km,-91.7538817,33.1565939,2010,380.6225891113281,153.27398681640625,227.34860229492188
10km,-91.7538817,33.1565939,2011,432.3619689941406,189.73782348632812,242.62413024902344
10km,-91.7538817,33.1565939,2012,493.31915283203125,193.01560974121094,300.30352783203125
10km,-91.7538817,33.1565939,2013,508.6531066894531,215.023193359375,293.62994384765625
10km,-91.7538817,33.1565939,2014,416.56097412109375,181.8285369873047,234.732421875
10km,-91.7538817,33.1565939,2015,433.1407470703125,183.79554748535156,249.34519958496094
10km,-91.7538817,33.1565939,2016,473.0197448730469,205.0696563720703,267.9500732421875
10km,-91.7538817,33.1565939,2017,477.5163879394531,193.74166870117188,283.77471923828125
10km,-91.7538817,33.1565939,2018,458.0400695800781,202.06529235839844,255.97476196289062
10km,-91.7538817,33.1565939,2019,665.72467041015625,260.2341003417969,405.49053955078125
10km,-91.7538817,33.1565939,2020,522.5462646484375,214.89869689941406,307.6475524902344
10km,-91.7538817,41.3477966,1999,568.71826171875,285.79144287109375,282.9268493652344
10km,-91.7538817,41.3477966,2000,538.0889892578125,263.3160095214844,274.77301025390625
10km,-91.7538817,41.3477966,2001,706.5313720703125,332.9857177734375,373.545654296875
10km,-91.7538817,41.3477966,2002,548.36993408203125,249.80096435546875,298.5690002441406
10km,-91.7538817,41.3477966,2003,485.2367858886719,209.9410400390625,275.2957458496094
10km,-91.7538817,41.3477966,2004,527.86004638671875,230.4780731201172,297.3819274902344
10km,-91.7538817,41.3477966,2005,410.09161376953125,180.5593719482422,229.5322265625
10km,-91.7538817,41.3477966,2006,606.41741943359375,256.2409973144531,350.17645263671875
10km,-91.7538817,41.3477966,2007,749.60223388671875,298.914794921875,450.6874084472656
10km,-91.7538817,41.3477966,2008,640.9442138671875,261.5135803222656,379.4306640625
10km,-91.7538817,41.3477966,2009,673.24810791015625,249.5131378173828,423.73492431640625
10km,-91.7538817,41.3477966,2010,735.82733154296875,291.8153991699219,444.0119323730469
10km,-91.7538817,41.3477966,2011,546.9737548828125,203.32972717285156,343.64398193359375
10km,-91.7538817,41.3477966,2012,523.66162109375,188.80323791503906,334.8583984375
10km,-91.7538817,41.3477966,2013,570.630126953125,192.27029418945312,378.3598327636719
10km,-91.7538817,41.3477966,2014,587.67742919921875,204.88742065429688,382.7900085449219
10km,-91.7538817,41.3477966,2015,547.63372802734375,179.0107421875,368.62298583984375
10km,-91.7538817,41.3477966,2016,436.67352294921875,151.58645629882812,285.0870666503906
10km,-91.7538817,41.3477966,2017,466.2622375488281,144.03831481933594,322.22393798828125
10km,-91.7538817,41.3477966,2018,637.7822265625,200.44667053222656,437.3355407714844
10km,-91.7538817,41.3477966,2019,561.66424560546875,185.98597717285156,375.6782531738281
10km,-91.7538817,41.3477966,2020,465.9599914550781,139.90081787109375,326.0592041015625
10km,-91.7926255,32.7751347,1999,629.14581298828125,333.7325439453125,295.41326904296875
10km,-91.7926255,32.7751347,2000,559.5361328125,298.03070068359375,261.5054626464844
10km,-91.7926255,32.7751347,2001,656.03558349609375,339.008056640625,317.0274963378906
10km,-91.7926255,32.7751347,2002,588.5511474609375,293.6851501464844,294.8659362792969
10km,-91.7926255,32.7751347,2003,537.97955322265625,242.12257385253906,295.8569641113281
10km,-91.7926255,32.7751347,2004,655.233642578125,336.2629089355469,318.97076416015625
10km,-91.7926255,32.7751347,2005,425.2520751953125,200.4349365234375,224.81712341308594
10km,-91.7926255,32.7751347,2006,613.83953857421875,294.5797119140625,319.25982666015625
10km,-91.7926255,32.7751347,2007,397.0997314453125,186.19064331054688,210.90908813476562
10km,-91.7926255,32.7751347,2008,496.0327453613281,238.10372924804688,257.9289855957031
10km,-91.7926255,32.7751347,2009,597.58660888671875,211.153076171875,386.4335632324219
10km,-91.7926255,32.7751347,2010,341.0227966308594,142.52386474609375,198.4989471435547
10km,-91.7926255,32.7751347,2011,454.2900695800781,195.5920867919922,258.697998046875
10km,-91.7926255,32.7751347,2012,550.068115234375,227.1145477294922,322.9535217285156
10km,-91.7926255,32.7751347,2013,476.36285400390625,203.43896484375,272.92388916015625
10km,-91.7926255,32.7751347,2014,439.1853942871094,188.7119598388672,250.4734649658203
10km,-91.7926255,32.7751347,2015,430.2899169921875,180.7920379638672,249.49789428710938
10km,-91.7926255,32.7751347,2016,539.70037841796875,227.5891571044922,312.1112365722656
10km,-91.7926255,32.7751347,2017,451.9009094238281,182.57843017578125,269.3224792480469
