buffer,lon,lat,mean_TIN,mean_NO3,mean_NH4
10km,-98.2212979,32.1793404,32.508278673345394,13.828287948261607,18.67999128861861
10km,-98.2212979,33.2560382,31.77230756933039,13.6333570913835,18.138950911435213
10km,-98.2212979,37.6071593,38.97536884654652,15.256388967687434,23.718980529091574
10km,-98.2212979,38.615225,37.023962627757676,14.284560506994074,22.739402164112438
10km,-98.2212979,39.443669,34.24685989726674,12.97473213889382,21.27212702144276
10km,-98.2212979,39.7720227,35.88084689053622,13.456400654532693,22.424446366050027
10km,-98.1837513,31.0506585,29.75928818095814,12.680646636269309,17.0786413712935
10km,-98.1240635,29.702566,29.895909266038373,12.741508700630881,17.15440069545399
10km,-98.0465185,29.2683783,28.36265737360174,11.854357827793468,16.508299827575684
10km,-98.0465185,37.1096002,38.86180851676247,15.43373610756614,23.428072582591664
10km,-98.0465185,37.9569553,37.79413318634033,14.846926559101451,22.947206020355225
10km,-98.0465185,40.110932,36.195590712807395,13.49388109553944,22.701709834012117
10km,-98.0028892,30.0537607,31.170452638105914,13.363307150927456,17.80714533545754
10km,-97.87216,28.9089085,25.960664575750176,10.643412568352439,15.31725200739774
10km,-97.87216,29.6477307,29.27415305917913,12.510633793744175,16.76351889696988
10km,-97.87216,32.7415519,32.16937273198908,13.872614600441672,18.296757958152078
10km,-97.8629829,40.1439151,36.876622286709875,13.731937495144932,23.144684704867277
10km,-97.7023716,45.4167482,33.52454306862571,11.523164228959518,22.00137931650335
10km,-97.6982272,26.4948223,22.016610232266512,9.598647356033325,12.417962897907604
10km,-97.6982272,26.8697147,22.606470021334562,9.801314267245205,12.805155624042857
10km,-97.6982272,27.4308339,22.67030481858687,9.679949175227772,12.9903555133126
10km,-97.6982272,30.2097015,31.926115469499067,13.711105064912276,18.215010816400703
10km,-97.6982272,31.8507607,33.01561858437278,14.209036350250244,18.806581713936545
10km,-97.6982272,33.2895861,32.45483892614191,14.117964614521373,18.33687470176003
10km,-97.6982272,33.6460993,35.03638328205455,15.125664104114879,19.910718701102518
10km,-97.6982272,38.3164433,39.10810375213623,15.356219335035844,23.75188446044922
10km,-97.6982272,38.8174853,35.876299077814274,13.888515342365611,21.987783345309172
10km,-97.6982272,39.1493836,36.4440880688754,13.997294859452682,22.446792949329723
10km,-97.6982272,39.4795571,37.072850314053625,14.04269283468073,23.030157869512383
10km,-97.6982272,39.807989,37.44159282337535,14.146393255753951,23.2951998277144
10km,-97.6982272,43.3017202,38.1708270853216,13.141570177945225,25.02925682067871
10km,-97.6982272,44.0643951,39.635292833501644,12.769950433210893,26.865342226895418
10km,-97.6697675,38.0239001,39.33526065132835,15.516851078380238,23.818409399552777
10km,-97.654811,29.7986218,30.001451665704902,12.90634822845459,17.095103307203814
10km,-97.6114217,37.2236052,41.269345716996625,16.462274638089266,24.807070818814363
10km,-97.5680595,41.1526688,40.63403328982267,14.238260572606867,26.39577241377397
10km,-97.5247243,27.9999695,25.869973052631725,10.696682214736938,15.17329064282504
10km,-97.5247243,29.4834878,28.98670278895985,12.386066978627985,16.600636113773692
10km,-97.5247243,31.134411,32.34186840057373,13.965969454158436,18.375898881392047
10km,-97.5247243,35.9404623,39.401916763999246,16.06212706999345,23.339789910749957
10km,-97.5247243,40.1460895,38.929399663751774,14.430136637254195,24.499263243241742
10km,-97.5247243,40.4710119,38.03408301960338,13.811319437893955,24.222763061523438
10km,-97.5247243,40.7941448,39.46780508214777,13.965690786188299,25.50211420926181
10km,-97.5091611,28.0366818,26.097797133705832,10.784845915707676,15.312951109626077
10km,-97.4394777,35.2225668,38.15837946805087,16.2515605579723,21.906819126822732
10km,-97.4030193,27.796399,25.801994020288642,10.794949249787765,15.00704516064037
10km,-97.3516558,28.5673709,28.175776611674916,11.562157067385586,16.613619544289328
10km,-97.3516558,29.1235194,29.537536837837912,12.42683633891019,17.110700130462646
10km,-97.3516558,30.0458708,31.43243269486861,13.603743553161621,17.82868935845115
10km,-97.3516558,32.7732044,33.986971161582254,14.70288389379328,19.284087657928467
10km,-97.3516558,35.254964,38.520380366932265,16.37891786748713,22.14146262949163
10km,-97.3516558,38.0025215,41.64875169233842,16.46014712073586,25.188605135137383
10km,-97.3516558,43.6310744,38.727081298828125,13.280294678427957,25.446787227283824
10km,-97.2861572,40.6536172,41.01471294056285,14.447595596313477,26.56711769104004
10km,-97.179026,31.5182285,35.12132592634721,15.119463573802602,20.001862395893443
10km,-97.179026,38.349424,40.763310259038754,16.057360995899547,24.7059495232322
10km,-97.179026,38.8505977,39.57442639090798,15.453056682239879,24.12136884169145
10km,-97.179026,39.34792,38.6587421243841,14.809988628734242,23.848753625696357
10km,-97.179026,39.8413319,39.46896067532626,14.912230534987016,24.556729663502086
10km,-97.179026,40.1680732,41.412809285250574,15.200320547277277,26.212489128112793
10km,-97.179026,40.4930367,42.098380435596816,14.954440593719482,27.143939798528496
10km,-97.179026,43.3355563,38.161182316866785,13.283233577554876,24.877948544242166
10km,-97.149207,37.114194,44.37525671178644,17.768654216419566,26.606602928855203
10km,-97.1215579,47.071168,29.797595717690207,10.803112680261785,18.994482430544767
10km,-97.1142063,37.3875221,44.52116870880127,17.806509884920988,26.71465891057795
10km,-97.0383712,37.0619736,44.13313241438432,17.71286782351407,26.420265371149238
10km,-97.0335771,45.611639,33.17504960840399,11.798683513294566,21.376365835016426
10km,-97.0068393,28.7712909,31.100250244140625,13.314240433953024,17.786009875210848
10km,-97.0068393,31.1636412,34.75063133239746,15.068067290566184,19.682564085180108
10km,-97.0068393,36.1449988,40.66178018396551,16.63535451889038,24.026425535028633
10km,-97.0068393,42.8829344,38.71254478801381,13.684254451231523,25.028290315107867
10km,-96.9209135,37.2660235,44.86079051277854,18.02758724039251,26.8332032290372
10km,-96.8758665,37.3761342,44.747401150790125,17.99955528432673,26.747845909812234
10km,-96.8350999,29.3359054,31.608584143898703,14.021282239393754,17.58730125427246
10km,-96.8350999,29.8896442,32.65958291834051,14.444378072565252,18.215204975821756
10km,-96.8350999,32.8024682,36.3414326581088,15.61734745719216,20.72408489747481
10km,-96.8350999,35.6342646,41.70574240251021,17.343556794253264,24.362185304815117
10km,-96.8350999,37.8649441,45.12384050542658,17.946180300279096,27.17765998840332
10km,-96.8350999,39.3686475,40.43548818068071,15.685939398678867,24.74954821846702
10km,-96.8350999,41.9540153,42.685545834628016,14.6560649655082,28.029480847445402
10km,-96.8350999,43.2026862,39.536456541581586,13.796615015376698,25.739841157739814
10km,-96.8350999,43.6631787,38.85402341322465,13.520657344297929,25.333366003903475
10km,-96.7983877,44.3113573,38.64482030001554,13.299293778159402,25.34552747553045
