buffer,lon,lat,year,TIN,NO3,NH4
30km,-79.1548533,39.1042079,2001,40.10880661010742,23.54644012451172,16.562368392944336
30km,-79.1548533,39.1042079,2002,45.638851165771484,25.901033401489258,19.737817764282227
30km,-79.1548533,39.1042079,2003,49.02518844604492,27.101322174072266,21.923864364624023
30km,-79.1548533,39.1042079,2004,37.06535720825195,20.616065979003906,16.44929313659668
30km,-79.1548533,39.1042079,2005,33.73141860961914,18.277708053588867,15.453713417053223
30km,-79.1548533,39.1042079,2006,34.49650955200195,18.25946044921875,16.237051010131836
30km,-79.1548533,39.1042079,2007,38.06044006347656,19.941452026367188,18.118986129760742
30km,-79.1548533,39.1042079,2008,35.98516845703125,18.320327758789062,17.664840698242188
30km,-79.1548533,39.1042079,2009,26.44167709350586,13.653421401977539,12.788257598876953
30km,-79.1548533,39.1042079,2010,27.135530471801758,14.302916526794434,12.832613945007324
30km,-79.1548533,39.1042079,2011,43.84470748901367,20.612815856933594,23.231891632080078
30km,-79.1548533,39.1042079,2012,34.62845230102539,16.499364852905273,18.129087448120117
30km,-79.1548533,39.1042079,2013,31.847082138061523,15.148999214172363,16.698081970214844
30km,-79.1548533,39.1042079,2014,30.29117202758789,14.163779258728027,16.12739372253418
30km,-79.1548533,39.1042079,2015,27.062849044799805,12.689085006713867,14.373764038085938
30km,-79.1548533,39.1042079,2016,29.550796508789062,12.86623477935791,16.684560775756836
30km,-79.1548533,39.1042079,2017,28.178325653076172,12.233765602111816,15.944562911987305
30km,-79.1548533,39.1042079,2018,37.73893737792969,16.229042053222656,21.50989532470703
30km,-79.1548533,39.1042079,2019,30.893939971923828,12.991518020629883,17.902423858642578
30km,-79.1548533,39.1042079,2020,26.03910255432129,10.502693176269531,15.536408424377441
30km,-79.1908499,36.2493046,1999,45.89259338378906,24.758771896362305,21.133821487426758
30km,-79.1908499,36.2493046,2000,45.01222610473633,25.360363006591797,19.6518611907959
30km,-79.1908499,36.2493046,2001,36.67788314819336,19.58963966369629,17.08824348449707
30km,-79.1908499,36.2493046,2002,37.17161560058594,20.295122146606445,16.87649154663086
30km,-79.1908499,36.2493046,2003,53.23399353027344,25.963844299316406,27.270151138305664
30km,-79.1908499,36.2493046,2004,39.78385925292969,18.911890029907227,20.87196922302246
30km,-79.1908499,36.2493046,2005,33.83868408203125,16.41529083251953,17.42339324951172
30km,-79.1908499,36.2493046,2006,42.65705490112305,19.7066650390625,22.95039176940918
30km,-79.1908499,36.2493046,2007,26.984529495239258,12.4404935836792,14.544036865234375
30km,-79.1908499,36.2493046,2008,38.38613510131836,16.9278507232666,21.458284378051758
30km,-79.1908499,36.2493046,2009,36.514793395996094,15.590425491333008,20.924367904663086
30km,-79.1908499,36.2493046,2010,31.323305130004883,14.078197479248047,17.245105743408203
30km,-79.1908499,36.2493046,2011,35.250728607177734,13.724573135375977,21.526153564453125
30km,-79.1908499,36.2493046,2012,35.21685028076172,14.207658767700195,21.009191513061523
30km,-79.1908499,36.2493046,2013,36.167762756347656,13.83932113647461,22.328439712524414
30km,-79.1908499,36.2493046,2014,31.964263916015625,13.038365364074707,18.925899505615234
30km,-79.1908499,36.2493046,2015,33.64133834838867,13.455995559692383,20.18534278869629
30km,-79.1908499,36.2493046,2016,38.68647384643555,14.250999450683594,24.43547248840332
30km,-79.1908499,36.2493046,2017,31.67626190185547,11.337575912475586,20.338685989379883
30km,-79.1908499,36.2493046,2018,43.782806396484375,15.471843719482422,28.310964584350586
30km,-79.1908499,36.2493046,2019,32.902427673339844,11.609833717346191,21.29259490966797
30km,-79.1908499,36.2493046,2020,38.56120300292969,11.892333984375,26.668867111206055
30km,-79.2902133,41.8143331,1999,49.021453857421875,32.247894287109375,16.773557662963867
30km,-79.2902133,41.8143331,2000,56.25480651855469,34.909019470214844,21.345788955688477
30km,-79.2902133,41.8143331,2001,50.25806427001953,30.268295288085938,19.98976707458496
30km,-79.2902133,41.8143331,2002,58.9411735534668,34.92499542236328,24.01618194580078
30km,-79.2902133,41.8143331,2003,59.173095703125,33.429176330566406,25.743919372558594
30km,-79.2902133,41.8143331,2004,55.283077239990234,31.03411293029785,24.24896812438965
30km,-79.2902133,41.8143331,2005,42.5910530090332,23.309110641479492,19.281944274902344
30km,-79.2902133,41.8143331,2006,53.48222351074219,28.51230812072754,24.969919204711914
30km,-79.2902133,41.8143331,2007,55.45154571533203,29.30583953857422,26.145706176757812
30km,-79.2902133,41.8143331,2008,44.26728820800781,23.904197692871094,20.363088607788086
30km,-79.2902133,41.8143331,2009,40.04365921020508,20.58709144592285,19.456565856933594
30km,-79.2902133,41.8143331,2010,32.68787384033203,16.154251098632812,16.53362274169922
30km,-79.2902133,41.8143331,2011,49.04705810546875,23.26102638244629,25.786033630371094
30km,-79.2902133,41.8143331,2012,43.349491119384766,20.66809844970703,22.681394577026367
30km,-79.2902133,41.8143331,2013,40.506473541259766,18.955150604248047,21.55132484436035
30km,-79.2902133,41.8143331,2014,49.3983154296875,22.25001335144043,27.14830207824707
30km,-79.2902133,41.8143331,2015,38.276756286621094,17.20927619934082,21.06747817993164
30km,-79.2902133,41.8143331,2016,45.40786361694336,20.116413116455078,25.29145050048828
30km,-79.2902133,41.8143331,2017,47.56099319458008,20.163393020629883,27.397600173950195
30km,-79.2902133,41.8143331,2018,42.55136489868164,17.800931930541992,24.75043296813965
30km,-79.2902133,41.8143331,2019,49.93892288208008,21.122608184814453,28.816314697265625
30km,-79.2902133,41.8143331,2020,34.60489273071289,13.607963562011719,20.996931076049805
30km,-79.4614012,33.087871,1999,55.5225830078125,32.4974250793457,23.025156021118164
30km,-79.4614012,33.087871,2000,41.3079719543457,24.502643585205078,16.805328369140625
30km,-79.4614012,33.087871,2001,32.03349685668945,18.722042083740234,13.311452865600586
30km,-79.4614012,33.087871,2002,30.32159423828125,18.548667907714844,11.77292537689209
30km,-79.4614012,33.087871,2003,30.97903823852539,17.28173065185547,13.697308540344238
30km,-79.4614012,33.087871,2004,30.638578414916992,17.16777992248535,13.470796585083008
30km,-79.4614012,33.087871,2005,26.444124221801758,15.571074485778809,10.873046875
30km,-79.4614012,33.087871,2006,26.541147232055664,15.516403198242188,11.02474308013916
30km,-79.4614012,33.087871,2007,19.521480560302734,10.671159744262695,8.850319862365723
30km,-79.4614012,33.087871,2008,26.473705291748047,14.5589017868042,11.914803504943848
30km,-79.4614012,33.087871,2009,27.38118553161621,14.174728393554688,13.206459045410156
30km,-79.4614012,33.087871,2010,25.879070281982422,15.5994291305542,10.279640197753906
30km,-79.4614012,33.087871,2011,24.906818389892578,12.412517547607422,12.494300842285156
30km,-79.4614012,33.087871,2012,30.601215362548828,15.902928352355957,14.698287963867188
30km,-79.4614012,33.087871,2013,31.43684959411621,14.084108352661133,17.352741241455078
30km,-79.4614012,33.087871,2014,24.889448165893555,12.470812797546387,12.418634414672852
30km,-79.4614012,33.087871,2015,29.582134246826172,14.404670715332031,15.177462577819824
30km,-79.4614012,33.087871,2016,28.283510208129883,12.506733894348145,15.776775360107422
30km,-79.4614012,33.087871,2017,27.995485305786133,12.178595542907715,15.816887855529785
30km,-79.4614012,33.087871,2018,26.076522827148438,12.269020080566406,13.807502746582031
30km,-79.4614012,33.087871,2019,23.730649948120117,10.790709495544434,12.939942359924316
30km,-79.4614012,33.087871,2020,24.777576446533203,10.674287796020508,14.103287696838379
30km,-79.4647739,39.1287189,1999,40.19689178466797,26.025026321411133,14.171865463256836
30km,-79.4647739,39.1287189,2000,46.308815002441406,28.67184829711914,17.6369686126709
30km,-79.4647739,39.1287189,2001,44.59577560424805,26.89405059814453,17.70172882080078
30km,-79.4647739,39.1287189,2002,48.12567901611328,28.140932083129883,19.98474884033203
30km,-79.4647739,39.1287189,2003,52.920501708984375,30.16484260559082,22.755659103393555
30km,-79.4647739,39.1287189,2004,43.20458221435547,25.377891540527344,17.826692581176758
30km,-79.4647739,39.1287189,2005,40.57271957397461,22.988431930541992,17.584287643432617
30km,-79.4647739,39.1287189,2006,40.97690963745117,22.25857925415039,18.71833038330078
30km,-79.4647739,39.1287189,2007,44.83932113647461,24.318178176879883,20.521141052246094
30km,-79.4647739,39.1287189,2008,41.50193786621094,21.605478286743164,19.89646339416504
30km,-79.4647739,39.1287189,2009,27.447906494140625,14.689933776855469,12.757972717285156
30km,-79.4647739,39.1287189,2010,33.01842498779297,17.97581672668457,15.042608261108398
30km,-79.4647739,39.1287189,2011,51.93535232543945,25.251466751098633,26.68388557434082
30km,-79.4647739,39.1287189,2012,37.98914337158203,18.837020874023438,19.15212059020996
30km,-79.4647739,39.1287189,2013,36.08452606201172,17.536754608154297,18.547773361206055
30km,-79.4647739,39.1287189,2014,36.332122802734375,17.289165496826172,19.042959213256836
30km,-79.4647739,39.1287189,2015,30.277849197387695,14.775856018066406,15.501992225646973
30km,-79.4647739,39.1287189,2016,36.28696823120117,16.102243423461914,20.18472671508789
30km,-79.4647739,39.1287189,2017,36.99477005004883,16.652484893798828,20.342287063598633
30km,-79.4647739,39.1287189,2018,43.94942855834961,19.817853927612305,24.131574630737305
30km,-79.4647739,39.1287189,2019,38.63957214355469,16.20931625366211,22.430255889892578
30km,-79.4647739,39.1287189,2020,31.22951316833496,12.871047973632812,18.35846519470215
30km,-79.4703885,35.3674493,1999,45.80132293701172,25.024341583251953,20.776981353759766
30km,-79.4703885,35.3674493,2000,36.116416931152344,21.317018508911133,14.799395561218262
30km,-79.4703885,35.3674493,2001,34.4429817199707,18.548812866210938,15.89416790008545
30km,-79.4703885,35.3674493,2002,34.93126678466797,18.713376998901367,16.21788787841797
30km,-79.4703885,35.3674493,2003,49.82313537597656,24.809526443481445,25.013608932495117
30km,-79.4703885,35.3674493,2004,34.79621887207031,16.932750701904297,17.863468170166016
30km,-79.4703885,35.3674493,2005,36.082122802734375,16.957298278808594,19.12482452392578
30km,-79.4703885,35.3674493,2006,41.18368148803711,19.209453582763672,21.974227905273438
30km,-79.4703885,35.3674493,2007,26.165372848510742,12.116069793701172,14.049304008483887
30km,-79.4703885,35.3674493,2008,33.02328872680664,14.321081161499023,18.702207565307617
30km,-79.4703885,35.3674493,2009,33.33258056640625,14.596358299255371,18.736223220825195
30km,-79.4703885,35.3674493,2010,28.322954177856445,12.920073509216309,15.40288257598877
30km,-79.4703885,35.3674493,2011,32.4951057434082,13.019491195678711,19.47561264038086
30km,-79.4703885,35.3674493,2012,35.75864791870117,14.469097137451172,21.28955078125
30km,-79.4703885,35.3674493,2013,35.62289810180664,14.032217025756836,21.590681076049805
